"ID","Text"
"2128","I liked the aluminum body."
"81","Lightweight and the screen is beautiful!"
"89","Buy it, love it, and I promise you won't regret it."
"353","From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple."
"347","pretty much everything else about the computer is good it just stops working out of no were."
"1813","Originally bought it for my wife."
"655","It was truly a great computer costing less than one thousand bucks before tax."
"1615","I bought this laptop on Saturday and am completely in love with it!"
"1670","If you don't like fingerprints, this might not be the laptop for you."
"2443","Boots up fast and runs great!"
"764","Call tech support, standard email the form and fax it back in to us."
"177","I did contact HP and share how unhappy I am."
"3012","This is my second MacBook."
"1479","The service I received from Toshiba went above and beyond the call of duty."
"2937","I would recommend it just because of the internet speed probably because thats the only thing i really care about."
"439","This is my 3rd Apple Laptop and first MacBook Pro."
"2925","I have had this laptop for a few months now and i would say im pretty satisfied."
"929","The love part of my relationship with this laptop doesn't take very long."
"2077","The screen shows great colors."
"225","Dells are ok, HPs aren't that good, but Macs or Fantastic."
"2756","The battery life has not decreased since I bought it, so i'm thrilled with that."
"2863","The price and features more than met my needs."
"1393","the mouse buttons are hard to push."
"1837","Just don't waste your time and money on this."
"921","And I'm still paying the bloody financing, for a product which didn't last me at least three years!"
"2817","Bought it to use mostly for oline classes."
"1896","I purchased an HP right after my high school graduation."
"341","Me and my boyfriend bought the Gateway NV78 in nov of 09."
"36","This is the complete opposite to an ergonomic design."
"990","The technical service for dell is so 3rd world it might as well not even bother."
"2275","The built in camera is very useful when chatting with other techs in remote buildings on our campus."
"2908","Not super fancy, but not super expensive either."
"214","Keyboard good sized and wasy to use."
"2777","Great wifi too."
"467","The Dell mini was the first Dell product that I had ever purchased."
"47","My Mac has gone from being a trusted friend to an adversary."
"361","I have been a mac user since the mid 90s."
"168","My HP is very heavy."
"2642","big mistake!"
"1000","Best Buy was great as always and accepted the return and gave me another model 1764."
"2135","I would buy this lap top over and over again!"
"1733","Games being the main issue."
"1822","My previous purchases were with Dell and HP."
"3064","The price is another driving influence that made me purchase this laptop."
"1646","But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates."
"2988","It's a great product for a great price!"
"2828","Excellent speed for processing data."
"121","All in all, I'm incredibly dissatisfied with this laptop, and with HP as a whole."
"1967","In my opinion it was not as user friendly as I expected either."
"1776","The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great."
"2626","The switchable graphic card is pretty sweet when you want gaming on the laptop."
"2967","I would like at least a 4 hr. battery life."
"1800","Looking online, many people are having the same problem."
"2993","It has good speed and plenty of hard drive space."
"1037","The driver updates don't fix the issue, very frustrating."
"1270","Dell wanted to charge us for everything everytime I called them with a problem."
"1834","THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT."
"2451","Im glad that it has such great features in it."
"605","it's just a great toy to have around."
"1900","When this happened I would have to completely power off my computer and restart it."
